TR_YMD_HMS,TPS,ELPS_AVG,ELPS_MIN,ELPS_MAX
20220901000000 ,476.42,0.175856,0,108.452386
20220901001000 ,325.64,0.2172,0,91.222438
20220901002000 ,264.84,0.220549,0,282.243435
20220901003000 ,262.51,0.185086,0,160.733486
20220901004000 ,227.51,0.215876,0,170.647935
20220901005000 ,200.41,0.204576,0,602.096439
20220901010000 ,193.35,0.20723,0,290.563067
20220901011000 ,180.08,0.190289,0,163.352333
20220901012000 ,174.72,0.175784,0,110.681425
20220901013000 ,161.35,0.172023,0,118.061062
20220901014000 ,152.19,0.168748,0,120.14782
20220901015000 ,138.4,0.143765,0,151.248368
20220901020000 ,127.61,0.135643,0,134.099936
20220901021000 ,127.74,0.12821,0,88.815895
20220901022000 ,120.68,0.130604,0,70.423065
20220901023000 ,116.16,0.127927,0,167.556807
20220901024000 ,111.45,0.118777,0,132.810972
20220901025000 ,103.14,0.11608,0,109.054314
20220901030000 ,104.79,0.108117,0,98.827147
20220901031000 ,104.22,0.112455,0,546.434735
20220901032000 ,100.03,0.111178,0,394.942978
20220901033000 ,101.08,0.100037,0,133.938266
20220901034000 ,98.4,0.104839,0,134.140613
20220901035000 ,94.16,0.084984,0,146.981819
20220901040000 ,100.04,0.097393,0,73.090442
20220901041000 ,103.16,0.111312,0,125.25188
20220901042000 ,108.56,0.11237,0,125.183625
20220901043000 ,115.24,0.120151,0,322.288737
20220901044000 ,112.58,0.119186,0,99.56401
20220901045000 ,125.31,0.126511,0,106.309963
20220901050000 ,134.8,0.129636,0,142.179794
20220901051000 ,147.49,0.1211,0,76.985414
20220901052000 ,156.27,0.127602,0,91.598763
20220901053000 ,170.19,0.132578,0,79.762424
20220901054000 ,202.49,0.133623,0,99.711304
20220901055000 ,232.27,0.136325,0,92.295285
20220901060000 ,544.01,0.122777,0,133.296624
20220901061000 ,519.1,0.122745,0,165.277858
20220901062000 ,510.07,0.128715,0,108.149615
20220901063000 ,556.84,0.12009,0,144.501709
20220901064000 ,503.16,0.137563,0,308.163683
20220901065000 ,517,0.143705,0,184.966687
20220901070000 ,611.72,0.142618,0,168.845396
20220901071000 ,554.77,0.16043,0,180.588786
20220901072000 ,602.17,0.165736,0,236.928419
20220901073000 ,669.84,0.172813,0,478.699208
20220901074000 ,706.53,0.178128,0,319.844205
20220901075000 ,736.3,0.200501,0,577.027474
20220901080000 ,745.5,0.234229,0,891.305101
20220901081000 ,839.36,0.208157,0,432.584629
20220901082000 ,1009.36,0.218829,0,436.128066
20220901083000 ,1357.37,0.219119,0,346.626676
20220901084000 ,1653.88,0.207678,0,347.351924
20220901085000 ,2005.8,0.215834,0,506.094295
20220901090000 ,2517.82,0.269299,0,660.188014
20220901091000 ,2800.04,0.265449,0,739.620277
20220901092000 ,3000.11,0.266269,0,865.087116
20220901093000 ,3300.37,0.256893,0,660.19266
20220901094000 ,4000.38,0.25472,0,567.705624
20220901095000 ,2000.54,0.260906,0,660.174117
20220901100000 ,3900.41,0.263826,0,427.62265
20220901101000 ,1800.74,0.26757,0,665.512146
20220901102000 ,3377.46,0.268066,0,660.249345
20220901103000 ,3388.73,0.277001,0,524.320233
20220901104000 ,3408.12,0.289212,0,557.234107
20220901105000 ,3387.79,0.280873,0,660.081606
20220901110000 ,3386.3,0.286979,0,660.102006
20220901111000 ,3332.86,0.28552,0,660.375823
20220901112000 ,3224.74,0.283782,0,701.170722
20220901113000 ,100,0.12344,0,110
20220901114000 ,2621.22,0.266314,0,766.320112
20220901115000 ,2297.05,0.253377,0,405.183808
20220901120000 ,1914.54,0.241395,0,362.635249
20220901121000 ,1766.8,0.230373,0,423.126296
20220901122000 ,1676.37,0.226971,0,416.833996
20220901123000 ,1764.25,0.227038,0,654.762027
20220901124000 ,1849.54,0.231407,0,543.70006
20220901125000 ,2018.74,0.232811,0,486.292214
20220901130000 ,3000.43,0.230814,0,660.152059
20220901131000 ,3500.54,0.237233,0,284.583522
20220901132000 ,1500,0.252572,0,660.168774
20220901133000 ,2,0.259039,0,660.111675
20220901134000 ,3,0.262229,0,660.140322
20220901135000 ,2920.47,0.259047,0,420.666367
20220901140000 ,2973.71,0.261102,0,660.139545
20220901141000 ,2946.13,0.263215,0,442.001086
20220901142000 ,2987.98,0.266391,0,600.28583
20220901143000 ,2991.07,0.270309,0,660.155755
20220901144000 ,2946.85,0.269018,0,660.059017
20220901145000 ,2945.96,0.271797,0,660.075514
20220901150000 ,3030.79,0.266298,0,577.354053
20220901151000 ,3045.8,0.266423,0,660.143318
20220901152000 ,3018.89,0.275853,0,660.118198
20220901153000 ,3011.79,0.270458,0,480.094165
20220901154000 ,2947.04,0.271259,0,660.133121
20220901155000 ,2942.8,0.270729,0,660.056172
20220901160000 ,2944.92,0.272334,0,613.617018
20220901161000 ,2885.53,0.274235,0,660.095021
20220901162000 ,2892.89,0.274316,0,822.640601
20220901163000 ,2863.42,0.271709,0,486.284418
20220901164000 ,2796.36,0.268883,0,499.799428
20220901165000 ,2745.19,0.268934,0,688.312837
20220901170000 ,2658.02,0.270276,0,660.140746
20220901171000 ,2630.12,0.26398,0,366.086047
20220901172000 ,2552.18,0.257237,0,660.169217
20220901173000 ,2460.24,0.25737,0,451.880327
20220901174000 ,2355.66,0.252184,0,464.390704
20220901175000 ,2184.66,0.244819,0,316.921744
20220901180000 ,1719.88,0.22731,0,410.009666
20220901181000 ,1463.23,0.215584,0,446.614266
20220901182000 ,1327.28,0.209471,0,305.031544
20220901183000 ,1097.44,0.199853,0,492.3341
20220901184000 ,1008.28,0.204725,0,327.763873
20220901185000 ,968.31,0.191824,0,467.758472
20220901190000 ,980.09,0.178041,0,252.212044
20220901191000 ,1023.11,0.16906,0,292.677121
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
